publisher,topic_label,mean_sentiment,median_sentiment,std_sentiment,n_articles
Fox News,5_halloween_pumpkin_trick_moon,-0.019833333333333317,-0.0188,0.9584504177751363,3
Le Monde,33_samos_izmir_turquie_tsunami,0.0,0.0,0.0,2
Le Monde,47_maßnahmen_allemagne_parteitag_scottish,0.0,0.0,,1
Euronews (EN),14_pakistan_macron_khan_islam,0.002799999999999969,0.002799999999999969,1.378999644670005,2
The Telegraph,25_cup_england_united_world cup,0.002950000000000008,0.003049999999999997,1.1342047037461978,4
Daily Mail,30_myers_franklin_team_nfl,0.008833333333333332,-0.17515,0.824257585143544,6
Business Insider,5_halloween_pumpkin_trick_moon,0.0126,0.0126,1.2896213475280254,2
The BBC,-1_er_dass_000_year,0.022683333333333333,0.09325,0.5713902182139524,18
i,13_corbyn_labour_party_anti,0.022700000000000015,0.020600000000000007,0.9944504150534607,6
Fox News,1_biden_trump_president_joe,0.023393333333333332,0.4019,0.9099867051357451,15
Fox News,15_lamb_republican_mr_race,0.02501666666666667,0.08560000000000001,0.832183012123335,6
es,20_land_africa_south_opposition,0.0258,0.0258,0.0,2
Euronews (EN),32_cannabis_art_terry_talbot,0.026099999999999957,0.026099999999999957,1.3621705032777651,2
The BBC,20_land_africa_south_opposition,0.0557,0.0557,,1
The Sun,16_voters_trump_democrats_vote,0.06165000000000004,0.06165000000000004,1.3110466829979777,2
Euronews (FR),1_biden_trump_president_joe,0.06743333333333333,0.0,0.1167979594570613,3
The Washington Times,17_cases_vitamin_covid_covid 19,0.0796,0.0796,,1
Business Insider,39_electric_range_charging_cars,0.08410000000000001,0.08410000000000001,1.2196177761905571,2
The Telegraph,-1_er_dass_000_year,0.08851111111111111,0.1752,0.8290191518309841,27
Euronews (FR),-1_er_dass_000_year,0.09816315789473684,0.0,0.3684057217110962,19
es,1_biden_trump_president_joe,0.1027,0.1027,,1
Fox News,26_grünen_er_merz_spd,0.1027,0.1027,,1
The Sun,13_corbyn_labour_party_anti,0.11209999999999998,0.11209999999999998,1.2047685337856398,2
Fox News,22_facebook_twitter_zuckerberg_post,0.11820000000000003,0.11820000000000003,1.1026623145823022,2
es,11_product_product marketing_marketing_quarter,0.128,0.128,,1
The Telegraph,20_land_africa_south_opposition,0.1343,0.1343,,1
Business Insider,42_says_kandidaten_électorat_etats,0.1531,0.1531,,1
The Sun,30_myers_franklin_team_nfl,0.1638,0.1638,,1
The Washington Times,16_voters_trump_democrats_vote,0.21043333333333333,0.6705,0.9422797956728848,3
Le Monde,21_confinement_lockdown_pour_france,0.2263,0.2263,,1
Fox News,8_nizza_nice_frankreich_notre,0.2263,0.2263,,1
es,35_ich_ruth_frauen_familia,0.2263,0.2263,,1
Daily Mail,-1_er_dass_000_year,0.22952777777777778,0.7887,0.8534060028225691,18
Business Insider,11_product_product marketing_marketing_quarter,0.25,0.25,,1
Le Monde,42_says_kandidaten_électorat_etats,0.2732,0.2732,,1
Le Monde,40_georgia_russia_belarus_political,0.2732,0.2732,,1
Fox News,18_jet_ber_flight_flughafen,0.28573333333333334,0.8765,1.046969361219961,3
CNBC,43_market cap_ticker_cap_market,0.31743333333333335,0.8555,1.038422266389417,3
Euronews (EN),-1_er_dass_000_year,0.3263157894736842,0.7369,0.8031956488256132,19
The Sun,-1_er_dass_000_year,0.32805,0.6090500000000001,0.8007734528923539,8
The Sun,14_pakistan_macron_khan_islam,0.3347,0.3347,,1
Euronews (EN),40_georgia_russia_belarus_political,0.36106666666666665,0.7826,0.9169061965835618,3
Fox News,39_electric_range_charging_cars,0.3659,0.3659,0.8335374736627023,2
i,5_halloween_pumpkin_trick_moon,0.37966923076923076,0.9063,0.8602021713766047,13
Euronews (FR),10_je_kultur_art_ich,0.3804,0.3804,0.5379668391267254,2
es,3_lawsuit_sentencia_er_mossos,0.3809857142857143,0.6705,0.6502233806638337,7
The Washington Times,1_biden_trump_president_joe,0.3989,0.6011,0.7063523823135305,6
i,27_show_nathan_sister_series,0.4227,0.7469,0.8273796377721656,5
CNBC,1_biden_trump_president_joe,0.4276,0.4276,,1
CNBC,-1_er_dass_000_year,0.44941764705882353,0.7606,0.681787632107035,17
CNBC,17_cases_vitamin_covid_covid 19,0.452875,0.59035,0.6211803891248768,4
es,26_grünen_er_merz_spd,0.46295,0.46295,0.173877557493772,2
Daily Mail,23_vs_bundesliga_gegen_stuttgart,0.4769,0.4769,0.674438447895729,2
Le Monde,19_album_ich_lucky_woodward,0.5171333333333333,0.6322,0.44509852092916835,3
Business Insider,-1_er_dass_000_year,0.5554416666666667,0.93225,0.6872954582157939,24
The Telegraph,5_halloween_pumpkin_trick_moon,0.5647,0.5647,,1
CNBC,11_product_product marketing_marketing_quarter,0.5691625,0.8454,0.6404043386519845,8
Business Insider,17_cases_vitamin_covid_covid 19,0.5741,0.5741,,1
Le Monde,27_show_nathan_sister_series,0.57925,0.57925,0.4005759915421792,2
Fox News,17_cases_vitamin_covid_covid 19,0.5859,0.5859,,1
The Telegraph,0_league_arsenal_premier league_game,0.6841125,0.97525,0.6299799938716876,8
es,45_amb_més_cementerios_tots,0.6933,0.6933,0.04751757569573606,2
The Sun,9_mr_shulkin_kudlow_trump,0.7003,0.7003,,1
Daily Mail,0_league_arsenal_premier league_game,0.7463000000000001,0.8997999999999999,0.4371778598882503,18
The Washington Times,2_students_university_school_student,0.7482,0.7482,,1
es,10_je_kultur_art_ich,0.7506,0.7506,,1
Business Insider,18_jet_ber_flight_flughafen,0.7642,0.7642,,1
The Sun,0_league_arsenal_premier league_game,0.7686076923076922,0.9708,0.3881434280897086,13
Euronews (FR),8_nizza_nice_frankreich_notre,0.769025,0.81175,0.13595546758651034,4
Euronews (FR),20_land_africa_south_opposition,0.7783,0.7783,,1
The Telegraph,7_plants_garden_binoculars_flowers,0.7805727272727272,0.9527,0.5273969057378117,11
Daily Mail,26_grünen_er_merz_spd,0.7845,0.7845,,1
CNBC,16_voters_trump_democrats_vote,0.78535,0.78535,0.1458761289587847,2
CNBC,37_tier_spiegel_gerät_restrictions,0.7914,0.7914,0.14934095218659887,2
